,FeMale,Male,0-9,10-19,20-29,30-39,40-49,50-59,60+,0-9,10-19,20-29,30-39,40-49,50-59,60+,,,,,,,
09/23/2021,,,10,19,52,81,60,61,119,0,0,0,0,1,1,8,,,,,,,
09/21/2021,,,8,15,52,48,58,45,87,0,0,0,1,2,3,7,,,,,,,
09/20/2021,,,3,8,10,35,13,16,28,0,0,0,2,0,1,3,,,,,,,
09/19/2021,,,7,9,30,50,30,39,69,0,0,0,0,2,2,5,,,,,,,
09/18/2021,,,30,27,84,107,83,66,118,0,0,1,0,3,2,9,,,,,,,
09/17/2021,,,21,33,70,90,90,67,93,0,0,0,0,1,2,1,,,,,,,
09/16/2021,,,27,40,65,121,73,62,123,0,1,1,1,2,2,5,,,,,,,
09/15/2021,,,24,25,60,102,60,67,108,0,0,0,0,2,3,16,,,,,,,
09/14/2021,,,20,29,60,88,82,65,107,0,0,0,0,0,0,5,,,,,,,
09/13/2021,,,10,19,30,41,32,24,48,0,0,0,1,0,1,15,,,,,,,
09/12/2021,,,25,7,39,45,56,38,59,0,0,0,0,1,0,3,,,,,,,
09/11/2021,,,15,25,92,105,88,72,114,0,0,0,0,0,1,5,,,,,,,
09/10/2021,,,19,38,123,138,136,88,116,0,1,1,4,4,2,20,,,,,,,
09/09/2021,,,18,33,61,102,106,64,117,0,0,0,2,2,2,28,,,,,,,
09/08/2021,,,22,36,106,161,119,80,125,0,0,0,3,3,4,20,,,,,,,
09/07/2021,,,18,44,106,139,113,101,183,0,0,0,0,0,0,5,,,,,,,
09/06/2021,,,8,19,28,57,48,40,58,0,0,1,0,1,0,7,,,,,,,
09/05/2021,,,20,27,74,110,91,58,100,0,0,0,0,0,2,6,,,,,,,
09/04/2021,,,28,60,134,181,149,135,153,0,0,2,1,1,2,15,,,,,,,
09/03/2021,,,26,57,167,235,151,148,217,0,0,0,0,1,1,9,,,,,,,
09/02/2021,,,32,94,138,223,152,144,187,0,0,0,2,0,1,4,,,,,,,
09/01/2021,,,34,76,157,229,177,137,208,0,0,0,2,0,4,7,,,,,,,
08/31/2021,,,45,66,85,111,96,56,106,0,0,0,0,0,3,3,,,,,,,
08/30/2021,,,12,24,57,81,56,44,72,0,0,0,1,0,4,5,,,,,,,
08/29/2021,,,7,25,50,77,56,57,91,0,0,1,1,3,0,11,,,,,,,
08/28/2021,,,23,101,106,163,125,102,168,0,0,1,4,6,2,15,,,,,,,
08/27/2021,,,26,62,173,237,180,103,151,0,0,1,3,3,4,20,,,,,,,
08/26/2021,427,390,17,83,123,156,159,124,155,0,0,0,2,4,8,21,,,,,,,
08/25/2021,647,611,64,126,201,293,228,146,200,0,1,1,1,6,4,23,,,,,,,
08/24/2021,616,550,44,93,187,277,211,146,208,0,0,0,3,6,5,22,,,,,,,
08/23/2021,311,308,23,53,80,142,100,92,129,0,1,0,1,4,6,19,,,,,,,
08/22/2021,343,303,23,103,98,155,92,81,94,0,0,1,2,2,5,20,,,,,,,
08/21/2021,661,625,43,114,230,249,233,186,231,0,0,0,2,4,7,19,,,,,,,
08/20/2021,733,681,59,177,231,284,234,182,247,0,1,0,1,5,5,19,,,,,,,
08/19/2021,623,640,52,141,177,276,246,164,207,0,0,0,0,5,9,12,,,,,,,
08/18/2021,795,711,71,148,277,336,255,199,220,0,0,0,0,1,4,19,,,,,,,
08/17/2021,785,703,68,106,224,346,277,183,284,0,0,0,0,0,0,4,,,,,,,
08/16/2021,324,355,20,40,129,161,130,83,116,0,0,0,0,1,1,8,,,,,,,
08/15/2021,358,431,35,56,152,178,136,113,119,0,0,0,1,0,4,16,,,,,,,
08/14/2021,632,593,47,126,232,284,190,155,191,0,0,0,1,3,0,13,,,,,,,
08/13/2021,699,738,66,120,250,339,277,177,208,0,1,1,1,4,4,18,,,,,,,
08/12/2021,783,763,34,98,296,367,274,207,270,0,0,0,0,3,3,26,,,,,,,
08/11/2021,1050,924,65,197,321,498,335,246,312,0,1,0,0,9,9,11,,,,,,,
08/10/2021,593,590,43,59,202,289,217,166,207,0,0,0,0,2,7,23,,,,,,,
08/09/2021,394,351,26,38,125,194,146,103,113,0,0,0,2,1,3,24,,,,,,,
08/08/2021,414,386,33,46,146,200,154,100,121,0,0,1,1,3,6,21,,,,,,,
08/07/2021,622,583,33,80,234,312,209,165,172,0,0,1,0,3,6,19,,,,,,,
08/06/2021,803,758,59,113,285,394,294,203,213,0,0,0,2,1,5,23,,,,,,,
08/05/2021,725,846,48,71,292,399,296,216,249,,,,,,,,,,,,,,
08/04/2021,680,655,52,80,256,348,250,157,192,0,1,1,0,4,5,19,,,,,,,
08/03/2021,550,535,41,53,179,269,207,148,188,0,1,0,1,0,4,19,,,,,,,
08/02/2021,275,316,35,37,90,165,128,70,66,0,1,0,1,5,4,14,,,,,,,
08/01/2021,225,242,19,19,94,119,95,64,57,0,1,0,1,2,2,9,,,,,,,
07/31/2021,630,629,,,,,,,,,,,,,,,,,,,,,
07/30/2021,481,464,58,38,150,212,179,150,158,0,0,0,1,2,2,11,,,,,,,
07/29/2021,554,514,27,56,199,303,212,131,140,0,0,1,1,1,3,9,,,,,,,
07/28/2021,521,485,28,42,168,293,186,154,135,0,0,0,0,1,3,9,,,,,,,
07/27/2021,508,468,28,58,177,238,181,125,169,0,0,0,1,1,0,8,,,,,,,
07/26/2021,286,378,21,35,130,159,135,86,98,1,0,0,1,1,3,10,,,,,,,
07/25/2021,362,485,29,57,159,224,145,116,117,0,1,0,1,3,2,4,,,,,,,
07/24/2021,362,425,35,22,142,217,160,102,109,0,1,0,0,1,5,5,,,,,,,
07/23/2021,,,,,,,,,,,,,,,,,,,,,,,
07/22/2021,375,426,31,39,139,190,155,109,138,0,0,0,1,2,2,10,,,,,,,
07/21/2021,252,472,26,27,81,144,101,65,59,0,0,0,0,3,2,6,,,,,,,
07/20/2021,333,285,20,42,83,154,113,98,108,0,0,0,0,1,0,16,,,,,,,
07/19/2021,134,284,16,33,65,117,83,55,62,0,0,0,0,1,2,5,,,,,,,
07/18/2021,143,180,7,26,44,83,69,55,39,0,0,0,3,0,4,8,,,,,,,
07/17/2021,377,346,47,73,95,175,124,92,117,0,0,0,0,2,0,4,,,,,,,
07/16/2021,321,371,,,,,,,,,,,,,,,,,,,,,
07/15/2021,402,435,27,70,133,210,162,110,125,0,0,0,1,0,1,7,,,,,,,
07/14/2021,235,245,14,26,79,114,89,67,91,0,0,0,0,1,0,4,,,,,,,
07/13/2021,381,380,24,142,98,152,120,92,133,0,0,1,0,1,3,4,,,,,,,
07/12/2021,86,102,4,9,38,53,43,27,14,0,0,0,0,0,0,1,,,,,,,
07/11/2021,97,144,7,16,38,72,38,39,31,0,0,1,0,0,0,0,,,,,,,
07/10/2021,262,274,21,29,110,128,104,59,85,0,0,0,0,0,0,3,,,,,,,
07/09/2021,221,231,13,19,74,121,87,51,87,0,0,0,0,1,0,1,,,,,,,
07/08/2021,248,318,18,41,94,130,109,82,92,0,0,1,1,0,1,8,,,,,,,
07/07/2021,219,287,8,20,68,142,94,80,94,0,0,0,1,0,3,4,,,,,,,
07/06/2021,180,220,10,25,84,99,67,51,640,0,0,0,0,2,5,,,,,,,,
07/05/2021,73,112,2,19,23,46,36,32,27,0,0,0,1,3,2,9,,,,,,,
07/04/2021,119,158,21,15,47,60,47,39,48,0,0,1,0,1,0,2,,,,,,,
07/03/2021,257,274,26,44,95,140,87,67,72,0,0,0,2,2,6,10,,,,,,,
07/02/2021,213,310,,,,,,,,,,,,,,,,,,,,,
07/01/2021,146,230,38,15,58,94,54,63,54,0,0,0,0,1,1,4,,,,,,,
06/30/2021,265,293,25,41,75,143,108,68,98,0,0,0,0,1,6,6,,,,,,,
06/29/2021,435,284,25,51,127,190,106,101,119,0,1,0,0,0,0,8,,,,,,,
06/28/2021,117,170,13,48,37,69,34,35,51,1,0,0,2,2,3,9,,,,,,,
06/27/2021,94,110,3,11,38,53,38,25,36,0,0,1,1,1,2,16,,,,,,,
06/26/2021,209,299,20,35,96,104,87,62,104,0,0,0,2,2,4,10,,,,,,,
06/25/2021,295,351,17,60,101,149,124,83,1120,0,0,0,1,1,4,10,,,,,,,
06/24/2021,277,464,9,52,142,175,148,104,111,0,0,1,1,2,5,15,,,,,,,
06/23/2021,267,316,16,27,89,136,103,100,112,0,1,0,3,1,0,18,,,,,,,
06/22/2021,267,316,16,27,89,136,103,100,112,0,1,0,3,1,0,18,,,,,,,
06/21/2021,101,117,9,8,31,60,55,21,34,0,0,1,0,1,1,2,,,,,,,
06/20/2021,151,132,12,11,60,73,45,33,49,0,0,0,2,0,0,7,,,,,,,
06/19/2021,318,396,34,44,140,180,126,86,104,0,1,0,1,0,0,8,,,,,,,
06/18/2021,338,458,28,26,129,195,144,125,149,0,0,0,1,0,1,1,,,,,,,
06/17/2021,300,360,31,32,140,149,128,77,1030,0,0,0,1,1,4,,,,,,,,
06/16/2021,208,277,30,28,75,119,96,60,77,0,0,0,0,0,0,0,,,,,,,
06/15/2021,190,266,31,25,81,110,78,60,71,0,0,0,1,0,0,6,,,,,,,
06/14/2021,145,199,8,14,52,100,55,45,70,0,0,0,2,0,0,9,,,,,,,
06/13/2021,81,80,10,4,29,43,22,21,32,0,0,0,3,1,0,10,,,,,,,
06/12/2021,188,215,15,15,68,98,70,68,69,0,0,1,1,2,4,10,,,,,,,
06/11/2021,173,315,13,38,100,100,91,60,86,0,0,0,1,3,1,11,,,,,,,
06/10/2021,219,405,22,43,109,161,116,87,86,0,0,0,2,1,5,9,,,,,,,
06/09/2021,246,319,37,31,95,146,108,62,110,0,0,0,4,1,5,9,,,,,,,
06/08/2021,186,247,18,27,67,105,75,54,87,1,0,0,1,2,1,13,,,,,,,
06/07/2021,69,79,7,9,7,32,21,27,45,0,1,0,2,1,4,13,,,,,,,
06/06/2021,50,116,11,13,26,35,37,20,24,0,0,0,1,1,5,16,,,,,,,
06/05/2021,149,234,16,29,62,91,65,41,79,0,0,0,4,4,2,14,,,,,,,
06/04/2021,127,157,15,19,48,68,49,45,40,0,0,1,0,0,4,12,,,,,,,
06/03/2021,203,229,30,38,71,100,76,51,66,0,0,0,3,1,4,9,,,,,,,
06/02/2021,66,76,1,4,23,42,21,23,28,0,1,0,0,1,1,15,,,,,,,
06/01/2021,153,196,25,26,69,83,51,332,63,0,0,1,0,2,5,8,,,,,,,
05/31/2021,32,56,1,8,14,17,14,16,18,0,0,0,1,1,1,12,,,,,,,
05/30/2021,185,259,18,25,98,114,77,55,57,0,0,0,0,1,3,13,,,,,,,
05/29/2021,,,,,,,,,,,,,,,,,,,,,,,
05/28/2021,,,,,,,,,,,,,,,,,,,,,,,
05/27/2021,167,174,12,44,53,74,56,38,64,0,0,0,1,2,0,8,,,,,,,
05/26/2021,,,,,,,,,,,,,,,,,,,,,,,
05/25/2021,156,226,8,55,62,96,54,47,60,0,0,0,1,2,1,9,,,,,,,
05/24/2021,,,,,,,,,,,,,,,,,,,,,,,
05/23/2021,101,223,15,19,63,68,74,37,48,0,0,0,0,2,1,7,,,,,,,
05/22/2021,208,365,23,84,95,125,89,61,96,0,0,0,1,0,1,4,,,,,,,
05/21/2021,195,464,26,37,157,169,103,85,82,0,0,0,0,1,0,2,,,,,,,
05/20/2021,162,332,14,20,109,140,83,50,78,0,0,0,0,0,1,4,,,,,,,
05/19/2021,162,214,25,25,48,99,67,47,65,0,1,1,0,0,4,8,,,,,,,
05/18/2021,189,280,13,16,83,106,82,69,100,0,0,1,0,0,0,7,,,,,,,
05/17/2021,27,45,3,3,8,15,20,13,10,0,0,0,1,0,2,7,,,,,,,
05/16/2021,44,42,3,4,13,23,11,14,18,0,0,0,0,1,0,1,,,,,,,
05/15/2021,155,237,16,24,51,70,50,28,28,0,0,0,4,2,3,16,,,,,,,
05/14/2021,155,237,19,21,71,104,63,46,68,0,0,0,1,0,1,6,,,,,,,
05/13/2021,128,206,15,17,59,83,56,44,60,0,0,0,0,2,3,13,,,,,,,
05/12/2021,21,45,3,2,11,14,9,9,18,0,0,0,1,0,1,10,,,,,,,
05/11/2021,,,,,,,,,,,,,,,,,,,,,,,
05/10/2021,,,,,,,,,,,,,,,,,,,,,,,
05/09/2021,112,204,,,,,,,,,,,,,,,,,,,,,
05/08/2021,218,354,,,,,,,,,,,,,,,,,,,,,
05/07/2021,224,344,,,,,,,,,,,,,,,,,,,,,
05/06/2021,301,404,40,41,118,154,132,97,123,1,0,0,1,1,4,18,,,,,,,
05/05/2021,223,266,24,31,90,122,91,72,59,0,0,0,2,4,1,13,,,,,,,
05/04/2021,150,195,10,17,53,86,59,59,61,0,0,0,2,4,4,14,,,,,,,
05/03/2021,57,80,2,6,16,39,24,21,29,1,0,1,3,2,1,10,,,,,,,
05/02/2021,158,211,7,9,54,109,77,50,63,0,1,0,1,2,3,12,,,,,,,
05/01/2021,306,429,24,47,115,190,131,98,130,0,0,0,0,3,1,16,,,,,,,
04/30/2021,215,282,10,22,84,105,97,71,108,0,0,1,0,1,3,12,,,,,,,
04/29/2021,198,297,,,,,,,,,,,,,,,,,,,,,
04/28/2021,335,499,,,,,,,,,,,,,,,,,,,,,
04/27/2021,231,280,22,34,69,104,90,86,106,1,0,0,2,2,3,14,,,,,,,
04/26/2021,89,105,2,5,20,60,35,36,36,1,0,0,4,0,4,12,,,,,,,
04/25/2021,169,300,,,,,,,,,,,,,,,,,,,,,
04/24/2021,448,705,,,,,,,,,,,,,,,,,,,,,
04/23/2021,323,450,7,37,146,185,137,113,148,0,0,0,0,2,5,16,,,,,,,
04/22/2021,385,519,29,47,105,216,189,113,206,0,0,1,1,5,2,11,,,,,,,
04/21/2021,,,,,,,,,,,,,,,,,,,,,,,
04/20/2021,271,358,16,38,97,126,124,93,135,1,0,0,0,2,2,13,,,,,,,
04/19/2021,106,135,4,11,33,58,56,39,40,0,0,1,1,2,3,11,,,,,,,
04/18/2021,215,151,,,,,,,,,,,,,,,,,,,,,
04/17/2021,427,600,,,,,,,,,,,,,,,,,,,,,
04/16/2021,412,629,,,,,,,,0,0,1,2,2,5,9,,,,,,,
04/15/2021,472,619,,,,,,,,0,0,0,1,0,0,3,,,,,,,
04/14/2021,418,563,32,53,154,242,192,139,169,0,0,0,0,2,5,19,,,,,,,
04/13/2021,448,543,34,43,116,235,214,161,188,1,0,0,2,0,8,15,,,,,,,
04/12/2021,193,293,16,21,81,119,104,71,74,1,1,0,2,1,5,10,,,,,,,
04/11/2021,,,,,,,,,,,,,,,,,,,,,,,
04/10/2021,,,,,,,,,,,,,,,,,,,,,,,
04/09/2021,481,610,35,53,164,262,219,188,170,0,0,0,3,1,2,11,,,,,,,
04/08/2021,772,926,57,62,228,441,343,268,299,,,,,,,,,,,,,,
04/07/2021,681,842,52,69,225,371,288,243,275,,,,,,,,,,,,,,
04/06/2021,185,209,14,23,52,97,69,66,73,,,,,,,,,,,,,,
04/05/2021,210,250,14,17,66,111,98,73,81,,,,,,,,45,17,91,199,312,495,1062
04/04/2021,408,503,,,,,,,,,,,,,,,,,,,,,
04/03/2021,583,601,,,,,,,,,,,,,,,,,,,,,
04/02/2021,,,,,,,,,,,,,,,,,,,,,,,
04/01/2021,,,,,,,,,,,,,,,,,,,,,,,
03/31/2021,641,771,,,,,,,,,,,,,,,,,,,,,
03/30/2021,688,842,,,,,,,,,,,,,,,,,,,,,
03/29/2021,418,484,,,,,,,,,,,,,,,,,,,,,
03/28/2021,464,420,,,,,,,,,,,,,,,,,,,,,
03/27/2021,918,1090,,,,,,,,,,,,,,,,,,,,,
03/26/2021,86,108,,,,,,,,,,,,,,,,,,,,,
03/25/2021,,,,,,,,,,,,,,,,,,,,,,,
03/24/2021,,,,,,,,,,,,,,,,,,,,,,,
03/23/2021,537,590,,,,,,,,,,,,,,,,,,,,,
03/22/2021,544,586,,,,,,,,,,,,,,,,,,,,,
03/21/2021,,,,,,,,,,,,,,,,,,,,,,,
03/20/2021,,,,,,,,,,,,,,,,,,,,,,,
03/19/2021,635,719,,,,,,,,,,,,,,,,,,,,,
03/18/2021,534,691,,,,,,,,,,,,,,,,,,,,,
03/17/2021,556,723,,,,,,,,,,,,,,,,,,,,,
03/16/2021,506,558,,,,,,,,,,,,,,,,,,,,,
03/15/2021,159,272,,,,,,,,,,,,,,,,,,,,,
03/14/2021,339,411,,,,,,,,,,,,,,,,,,,,,
03/13/2021,,,,,,,,,,,,,,,,,,,,,,,
03/12/2021,,,,,,,,,,,,,,,,,,,,,,,
03/11/2021,339,490,,,,,,,,,,,,,,,,,,,,,
03/10/2021,301,413,,,,,,,,,,,,,,,,,,,,,
03/09/2021,,,,,,,,,,,,,,,,,,,,,,,
03/08/2021,139,198,,,,,,,,,,,,,,,,,,,,,
03/07/2021,186,279,,,,,,,,,,,,,,,,,,,,,
03/06/2021,249,384,,,,,,,,,,,,,,,,,,,,,
03/05/2021,154,248,,,,,,,,,,,,,,,,,,,,,
03/04/2021,198,330,,,,,,,,,,,,,,,,,,,,,
03/03/2021,136,195,,,,,,,,,,,,,,,,,,,,,
03/02/2021,140,205,,,,,,,,,,,,,,,,,,,,,
03/01/2021,69,83,,,,,,,,,,,,,,,,,,,,,
02/28/2021,80,245,,,,,,,,,,,,,,,,,,,,,
02/27/2021,69,112,,,,,,,,,,,,,,,,,,,,,
02/26/2021,134,276,,,,,,,,,,,,,,,,,,,,,
02/25/2021,104,173,,,,,,,,,,,,,,,,,,,,,
02/24/2021,107,173,,,,,,,,,,,,,,,,,,,,,
02/23/2021,,,,,,,,,,,,,,,,,,,,,,,
02/22/2021,,,,,,,,,,,,,,,,,,,,,,,
02/21/2021,,,,,,,,,,,,,,,,,,,,,,,
02/20/2021,,,,,,,,,,,,,,,,,,,,,,,
02/19/2021,,,,,,,,,,,,,,,,,,,,,,,
02/18/2021,,,,,,,,,,,,,,,,,,,,,,,
02/17/2021,,,,,,,,,,,,,,,,,,,,,,,
02/16/2021,,,,,,,,,,,,,,,,,,,,,,,
02/15/2021,,,,,,,,,,,,,,,,,,,,,,,
02/14/2021,,,,,,,,,,,,,,,,,,,,,,,
02/13/2021,,,,,,,,,,,,,,,,,,,,,,,
02/12/2021,,,,,,,,,,,,,,,,,,,,,,,
02/11/2021,,,,,,,,,,,,,,,,,,,,,,,
02/10/2021,62,111,,,,,,,,,,,,,,,,,,,,,
02/09/2021,38,66,,,,,,,,,,,,,,,,,,,,,
02/08/2021,56,69,,,,,,,,,,,,,,,,,,,,,
02/07/2021,60,69,,,,,,,,,,,,,,,,,,,,,
02/06/2021,51,105,,,,,,,,,,,,,,,,,,,,,
02/05/2021,79,116,,,,,,,,,,,,,,,,,,,,,
02/04/2021,55,95,,,,,,,,,,,,,,,,,,,,,
02/03/2021,62,91,,,,,,,,,,,,,,,,,,,,,
02/02/2021,59,53,,,,,,,,,,,,,,,,,,,,,
02/01/2021,,,,,,,,,,,,,,,,,,,,,,,
01/31/2021,16,82,,,,,,,,,,,,,,,,,,,,,
01/30/2021,53,59,,,,,,,,,,,,,,,,,,,,,
01/29/2021,42,88,,,,,,,,,,,,,,,,,,,,,
01/28/2021,,,,,,,,,,,,,,,,,,,,,,,
01/27/2021,42,88,,,,,,,,,,,,,,,,,,,,,
01/26/2021,60,81,,,,,,,,,,,,,,,,,,,,,
01/25/2021,17,52,,,,,,,,,,,,,,,,,,,,,
01/24/2021,39,46,,,,,,,,,,,,,,,,,,,,,
01/23/2021,50,79,,,,,,,,,,,,,,,,,,,,,
01/22/2021,49,90,,,,,,,,,,,,,,,,,,,,,
01/21/2021,74,112,,,,,,,,,,,,,,,,,,,,,
