National Cases and Dates,,,,,,
National Values,Note: County filter not available for Deaths,,,,,
Date,Case count/ Day,Total Case Count(Cumulative),,Date,Total Deaths(Cumulative),Deaths/Day
"March 12, 2020",0,0,,3/12/20,0,0
"March 13, 2020",1,1,,3/13/20,0,0
"March 14, 2020",0,1,,3/14/20,0,0
"March 15, 2020",2,3,,3/15/20,0,0
"March 16, 2020",0,3,,3/16/20,0,0
"March 17, 2020",0,3,,3/17/20,0,0
"March 18, 2020",0,3,,3/18/20,0,0
"March 19, 2020",4,7,,3/19/20,0,0
"March 20, 2020",0,7,,3/20/20,0,0
"March 21, 2020",0,7,,3/21/20,0,0
"March 22, 2020",8,15,,3/22/20,0,0
"March 23, 2020",1,16,,3/23/20,0,0
"March 24, 2020",9,25,,3/24/20,0,0
"March 25, 2020",3,28,,3/25/20,0,0
"March 26, 2020",3,31,,3/26/20,1,1
"March 27, 2020",0,31,,3/27/20,1,0
"March 28, 2020",7,38,,3/28/20,1,0
"March 29, 2020",4,42,,3/29/20,1,0
"March 30, 2020",8,50,,3/30/20,1,0
"March 31, 2020",9,59,,3/31/20,1,0
"April 1, 2020",22,81,,4/1/20,1,0
"April 2, 2020",29,110,,4/2/20,3,2
"April 3, 2020",12,122,,4/3/20,4,1
"April 4, 2020",4,126,,4/4/20,4,0
"April 5, 2020",16,142,,4/5/20,4,0
"April 6, 2020",16,158,,4/6/20,6,2
"April 7, 2020",14,172,,4/7/20,6,0
"April 8, 2020",7,179,,4/8/20,6,0
"April 9, 2020",5,184,,4/9/20,7,1
"April 10, 2020",5,189,,4/10/20,7,0
"April 11, 2020",2,191,,4/11/20,7,0
"April 12, 2020",6,197,,4/12/20,8,1
"April 13, 2020",11,208,,4/13/20,9,1
"April 14, 2020",8,216,,4/14/20,9,0
"April 15, 2020",9,225,,4/15/20,10,1
"April 16, 2020",9,234,,4/16/20,11,1
"April 17, 2020",12,246,,4/17/20,11,0
"April 18, 2020",16,262,,4/18/20,12,1
"April 19, 2020",8,270,,4/19/20,14,2
"April 20, 2020",11,281,,4/20/20,14,0
"April 21, 2020",15,296,,4/21/20,14,0
"April 22, 2020",7,303,,4/22/20,14,0
"April 23, 2020",17,320,,4/23/20,14,0
"April 24, 2020",16,336,,4/24/20,14,0
"April 25, 2020",7,343,,4/25/20,14,0
"April 26, 2020",12,355,,4/26/20,14,0
"April 27, 2020",8,363,,4/27/20,14,0
"April 28, 2020",11,374,,4/28/20,14,0
"April 29, 2020",10,384,,4/29/20,15,1
"April 30, 2020",12,396,,4/30/20,17,2
"May 1, 2020",15,411,,5/1/20,21,4
"May 2, 2020",24,435,,5/2/20,22,1
"May 3, 2020",30,465,,5/3/20,24,2
"May 4, 2020",25,490,,5/4/20,24,0
"May 5, 2020",45,535,,5/5/20,24,0
"May 6, 2020",47,582,,5/6/20,26,2
"May 7, 2020",25,607,,5/7/20,29,3
"May 8, 2020",14,621,,5/8/20,29,0
"May 9, 2020",28,649,,5/9/20,30,1
"May 10, 2020",23,672,,5/10/20,32,2
"May 11, 2020",28,700,,5/11/20,33,1
"May 12, 2020",15,715,,5/12/20,36,3
"May 13, 2020",22,737,,5/13/20,40,4
"May 14, 2020",21,758,,5/14/20,42,2
"May 15, 2020",23,781,,5/15/20,45,3
"May 16, 2020",49,830,,5/16/20,50,5
"May 17, 2020",57,887,,5/17/20,50,0
"May 18, 2020",25,912,,5/18/20,50,0
"May 19, 2020",51,963,,5/19/20,50,0
"May 20, 2020",66,1029,,5/20/20,50,0
"May 21, 2020",80,1109,,5/21/20,50,0
"May 22, 2020",52,1161,,5/22/20,50,0
"May 23, 2020",31,1192,,5/23/20,50,0
"May 24, 2020",22,1214,,5/24/20,51,1
"May 25, 2020",72,1286,,5/25/20,52,1
"May 26, 2020",62,1348,,5/26/20,52,0
"May 27, 2020",123,1471,,5/27/20,55,3
"May 28, 2020",147,1618,,5/28/20,58,3
"May 29, 2020",127,1745,,5/29/20,62,4
"May 30, 2020",143,1888,,5/30/20,63,1
"May 31, 2020",74,1962,,5/31/20,64,1
"June 1, 2020",59,2021,,6/1/20,69,5
"June 2, 2020",72,2093,,6/2/20,71,2
"June 3, 2020",123,2216,,6/3/20,74,3
"June 4, 2020",124,2340,,6/4/20,78,4
"June 5, 2020",134,2474,,6/5/20,79,1
"June 6, 2020",126,2600,,6/6/20,83,4
"June 7, 2020",167,2767,,6/7/20,84,1
"June 8, 2020",105,2872,,6/8/20,85,1
"June 9, 2020",117,2989,,6/9/20,88,3
"June 10, 2020",105,3094,,6/10/20,89,1
"June 11, 2020",121,3215,,6/11/20,92,3
"June 12, 2020",90,3305,,6/12/20,96,4
"June 13, 2020",152,3457,,6/13/20,100,4
"June 14, 2020",137,3594,,6/14/20,103,3
"June 15, 2020",133,3727,,6/15/20,104,1
"June 16, 2020",133,3860,,6/16/20,105,1
"June 17, 2020",184,4044,,6/17/20,107,2
"June 18, 2020",213,4257,,6/18/20,117,10
"June 19, 2020",117,4374,,6/19/20,119,2
"June 20, 2020",104,4478,,6/20/20,121,2
"June 21, 2020",260,4738,,6/21/20,123,2
"June 22, 2020",59,4797,,6/22/20,125,2
"June 23, 2020",155,4952,,6/23/20,128,3
"June 24, 2020",254,5206,,6/24/20,130,2
"June 25, 2020",178,5384,,6/25/20,132,2
"June 26, 2020",149,5533,,6/26/20,137,5
"June 27, 2020",278,5811,,6/27/20,141,4
"June 28, 2020",259,6070,,6/28/20,143,2
"June 29, 2020",120,6190,,6/29/20,144,1
"June 30, 2020",176,6366,,6/30/20,148,4
"July 1, 2020",307,6673,,7/1/20,149,1
"July 2, 2020",268,6941,,7/2/20,152,3
"July 3, 2020",247,7188,,7/3/20,154,2
"July 4, 2020",389,7577,,7/4/20,159,5
"July 5, 2020",309,7886,,7/5/20,160,1
"July 6, 2020",181,8067,,7/6/20,164,4
"July 7, 2020",183,8250,,7/7/20,167,3
"July 8, 2020",278,8528,,7/8/20,169,2
"July 9, 2020",447,8975,,7/9/20,173,4
"July 10, 2020",473,9448,,7/10/20,181,8
"July 11, 2020",278,9726,,7/11/20,184,3
"July 12, 2020",379,10105,,7/12/20,185,1
"July 13, 2020",189,10294,,7/13/20,197,12
"July 14, 2020",497,10791,,7/14/20,202,5
"July 15, 2020",461,11252,,7/15/20,209,7
"July 16, 2020",421,11673,,7/16/20,217,8
"July 17, 2020",389,12062,,7/17/20,222,5
"July 18, 2020",688,12750,,7/18/20,225,3
"July 19, 2020",603,13353,,7/19/20,234,9
"July 20, 2020",418,13771,,7/20/20,238,4
"July 21, 2020",397,14168,,7/21/20,250,12
"July 22, 2020",637,14805,,7/22/20,260,10
"July 23, 2020",796,15601,,7/23/20,263,3
"July 24, 2020",667,16268,,7/24/20,274,11
"July 25, 2020",375,16643,,7/25/20,278,4
"July 26, 2020",960,17603,,7/26/20,280,2
"July 27, 2020",372,17975,,7/27/20,285,5
"July 28, 2020",606,18581,,7/28/20,299,14
"July 29, 2020",544,19125,,7/29/20,311,12
"July 30, 2020",788,19913,,7/30/20,325,14
"July 31, 2020",723,20636,,7/31/20,341,16
"August 1, 2020",727,21363,,8/1/20,364,23
"August 2, 2020",690,22053,,8/2/20,369,5
"August 3, 2020",544,22597,,8/3/20,382,13
"August 4, 2020",605,23202,,8/4/20,388,6
"August 5, 2020",671,23873,,8/5/20,391,3
"August 6, 2020",538,24411,,8/6/20,399,8
"August 7, 2020",727,25138,,8/7/20,413,14
"August 8, 2020",699,25837,,8/8/20,418,5
"August 9, 2020",599,26436,,8/9/20,420,2
"August 10, 2020",492,26928,,8/10/20,423,3
"August 11, 2020",497,27425,,8/11/20,438,15
"August 12, 2020",679,28104,,8/12/20,456,18
"August 13, 2020",650,28754,,8/13/20,460,4
"August 14, 2020",580,29334,,8/14/20,465,5
"August 15, 2020",515,29849,,8/15/20,472,7
"August 16, 2020",271,30120,,8/16/20,474,2
"August 17, 2020",245,30365,,8/17/20,482,8
"August 18, 2020",271,30636,,8/18/20,487,5
"August 19, 2020",379,31015,,8/19/20,506,19
"August 20, 2020",426,31441,,8/20/20,516,10
"August 21, 2020",322,31763,,8/21/20,532,16
"August 22, 2020",355,32118,,8/22/20,542,10
"August 23, 2020",246,32364,,8/23/20,548,6
"August 24, 2020",193,32557,,8/24/20,554,6
"August 25, 2020",246,32803,,8/25/20,559,5
"August 26, 2020",213,33016,,8/26/20,564,5
"August 27, 2020",373,33389,,8/27/20,567,3
"August 28, 2020",241,33630,,8/28/20,567,0
"August 29, 2020",164,33794,,8/29/20,572,5
"August 30, 2020",263,34057,,8/30/20,574,2
"August 31, 2020",144,34201,,8/31/20,577,3
"September 1, 2020",114,34315,,9/1/20,577,0
"September 2, 2020",178,34493,,9/2/20,581,4
"September 3, 2020",212,34705,,9/3/20,585,4
"September 4, 2020",179,34884,,9/4/20,589,4
"September 5, 2020",136,35020,,9/5/20,594,5
"September 6, 2020",83,35103,,9/6/20,597,3
"September 7, 2020",102,35205,,9/7/20,599,2
"September 8, 2020",151,35356,,9/8/20,599,0
"September 9, 2020",104,35460,,9/9/20,607,8
"September 10, 2020",143,35603,,9/10/20,612,5
"September 11, 2020",190,35793,,9/11/20,616,4
"September 12, 2020",176,35969,,9/12/20,619,3
"September 13, 2020",188,36157,,9/13/20,622,3
"September 14, 2020",48,36205,,9/14/20,624,2
"September 15, 2020",96,36301,,9/15/20,634,10
"September 16, 2020",0,36301,,9/16/20,634,0
"September 17, 2020",275,36576,,9/17/20,642,8
"September 18, 2020",148,36724,,9/18/20,646,4
"September 19, 2020",105,36829,,9/19/20,646,0
"September 20, 2020",152,36981,,9/20/20,648,2
"September 21, 2020",98,37079,,9/21/20,650,2
"September 22, 2020",139,37218,,9/22/20,659,9
"September 23, 2020",130,37348,,9/23/20,664,5
"September 24, 2020",141,37489,,9/24/20,669,5
"September 25, 2020",218,37707,,9/25/20,682,13
"September 26, 2020",164,37871,,9/26/20,689,7
"September 27, 2020",244,38115,,9/27/20,691,2
"September 28, 2020",53,38168,,9/28/20,700,9
"September 29, 2020",210,38378,,9/29/20,707,7
"September 30, 2020",151,38529,,9/30/20,711,4
"October 1, 2020",184,38713,,10/1/20,711,0
"October 2, 2020",210,38923,,10/2/20,725,14
"October 3, 2020",261,39184,,10/3/20,728,3
"October 4, 2020",243,39427,,10/4/20,731,3
"October 5, 2020",22,39449,,10/5/20,735,4
"October 6, 2020",137,39586,,10/6/20,743,8
"October 7, 2020",321,39907,,10/7/20,748,5
"October 8, 2020",271,40178,,10/8/20,751,3
"October 9, 2020",442,40620,,10/9/20,755,4
"October 10, 2020",538,41158,,10/10/20,760,5
"October 11, 2020",388,41546,,10/11/20,766,6
"October 12, 2020",73,41619,,10/12/20,777,11
"October 13, 2020",318,41937,,10/13/20,787,10
"October 14, 2020",604,42541,,10/14/20,797,10
"October 15, 2020",602,43143,,10/15/20,805,8
"October 16, 2020",437,43580,,10/16/20,813,8
"October 17, 2020",616,44196,,10/17/20,825,12
"October 18, 2020",685,44881,,10/18/20,832,7
"October 19, 2020",195,45076,,10/19/20,839,7
"October 20, 2020",571,45647,,10/20/20,842,3
"October 21, 2020",497,46144,,10/21/20,858,16
"October 22, 2020",1068,47212,,10/22/20,870,12
"October 23, 2020",631,47843,,10/23/20,884,14
"October 24, 2020",947,48790,,10/24/20,896,12
"October 25, 2020",931,49721,,10/25/20,902,6
"October 26, 2020",276,49997,,10/26/20,920,18
"October 27, 2020",836,50833,,10/27/20,934,14
"October 28, 2020",1018,51851,,10/28/20,934,0
"October 29, 2020",761,52612,,10/29/20,964,30
"October 30, 2020",1185,53797,,10/30/20,981,17
"October 31, 2020",1395,55192,,10/31/20,981,0
"November 1, 2020",685,55877,,11/1/20,1013,32
"November 2, 2020",724,56601,,11/2/20,1027,14
"November 3, 2020",492,57093,,11/3/20,1039,12
"November 4, 2020",1494,58587,,11/4/20,1051,12
"November 5, 2020",1008,59595,,11/5/20,1072,21
"November 6, 2020",1109,60704,,11/6/20,1093,21
"November 7, 2020",1065,61769,,11/7/20,1103,10
"November 8, 2020",719,62488,,11/8/20,1111,8
"November 9, 2020",756,63244,,11/9/20,1130,19
"November 10, 2020",1344,64588,,11/10/20,1154,24
"November 11, 2020",1216,65804,,11/11/20,1180,26
"November 12, 2020",919,66723,,11/12/20,1203,23
"November 13, 2020",1470,68193,,11/13/20,1228,25
"November 14, 2020",1080,69273,,11/14/20,1228,0
"November 15, 2020",972,70245,,11/15/20,1269,41
"November 16, 2020",559,70804,,11/16/20,1287,18
"November 17, 2020",925,71729,,11/17/20,1302,15
"November 18, 2020",957,72686,,11/18/20,1313,11
"November 19, 2020",1459,74145,,11/19/20,1330,17
"November 20, 2020",1048,75193,,11/20/20,1349,19
"November 21, 2020",1211,76404,,11/21/20,1366,17
"November 22, 2020",968,77372,,11/22/20,1380,14
"November 23, 2020",413,77785,,11/23/20,1392,12
"November 24, 2020",727,78512,,11/24/20,1409,17
"November 25, 2020",810,79322,,11/25/20,1417,8
"November 26, 2020",780,80102,,11/26/20,1427,10
"November 27, 2020",1554,81656,,11/27/20,1441,14
"November 28, 2020",949,82605,,11/28/20,1445,4
"November 29, 2020",711,83316,,11/29/20,1452,7
"November 30, 2020",302,83618,,11/30/20,1469,17
"December 1, 2020",551,84169,,12/1/20,1474,5
"December 2, 2020",961,85130,,12/2/20,1484,10
"December 3, 2020",1253,86383,,12/3/20,1500,16
"December 4, 2020",866,87249,,12/4/20,1506,6
"December 5, 2020",735,87984,,12/5/20,1518,12
"December 6, 2020",396,88380,,12/6/20,1526,8
"December 7, 2020",199,88579,,12/7/20,1531,5
"December 8, 2020",521,89100,,12/8/20,1545,14
"December 9, 2020",561,89661,,12/9/20,1552,7
"December 10, 2020",644,90305,,12/10/20,1568,16
"December 11, 2020",673,90978,,12/11/20,1582,14
"December 12, 2020",548,91526,,12/12/20,1586,4
"December 13, 2020",366,91892,,12/13/20,1587,1
"December 14, 2020",163,92055,,12/14/20,1593,6
"December 15, 2020",404,92459,,12/15/20,1604,11
"December 16, 2020",394,92853,,12/16/20,1614,10
"December 17, 2020",552,93405,,12/17/20,1618,4
"December 18, 2020",356,93761,,12/18/20,1629,11
"December 19, 2020",390,94151,,12/19/20,1633,4
"December 20, 2020",349,94500,,12/20/20,1639,6
"December 21, 2020",114,94614,,12/21/20,1644,5
"December 22, 2020",154,94768,,12/22/20,1647,3
"December 23, 2020",427,95195,,12/23/20,1648,1
"December 24, 2020",236,95431,,12/24/20,1652,4
"December 25, 2020",282,95713,,12/25/20,1653,1
"December 26, 2020",130,95843,,12/26/20,1655,2
"December 27, 2020",80,95923,,12/27/20,1658,3
"December 28, 2020",69,95992,,12/28/20,1664,6
"December 29, 2020",147,96139,,12/29/20,1665,1
"December 30, 2020",112,96251,,12/30/20,1667,2
"December 31, 2020",207,96458,,12/31/20,1670,3
"January 1, 2021",156,96614,,1/1/21,1681,11
"January 2, 2021",64,96678,,1/2/21,1685,4
"January 3, 2021",124,96802,,1/3/21,1685,0
"January 4, 2021",106,96908,,1/4/21,1686,1
"January 5, 2021",219,97127,,1/5/21,1690,4
"January 6, 2021",271,97398,,1/6/21,1694,4
"January 7, 2021",335,97733,,1/7/21,1702,8
"January 8, 2021",221,97954,,1/8/21,1703,1
"January 9, 2021",230,98184,,1/9/21,1704,1
"January 10, 2021",87,98271,,1/10/21,1710,6
"January 11, 2021",63,98334,,1/11/21,1713,3
"January 12, 2021",98,98432,,1/12/21,1716,3
"January 13, 2021",123,98555,,1/13/21,1720,4
"January 14, 2021",138,98693,,1/14/21,1723,3
"January 15, 2021",166,98859,,1/15/21,1726,3
"January 16, 2021",223,99082,,1/16/21,1728,2
"January 17, 2021",80,99162,,1/17/21,1731,3
"January 18, 2021",65,99227,,1/18/21,1734,3
"January 19, 2021",81,99308,,1/19/21,1734,0
"January 20, 2021",136,99444,,1/20/21,1736,2
"January 21, 2021",186,99630,,1/21/21,1739,3
"January 22, 2021",139,99769,,1/22/21,1740,1
"January 23, 2021",129,99898,,1/23/21,1740,0
"January 24, 2021",85,99983,,1/24/21,1744,4
"January 25, 2021",69,100052,,1/25/21,1744,0
"January 26, 2021",141,100193,,1/26/21,1750,6
"January 27, 2021",130,100323,,1/27/21,1751,1
"January 28, 2021",99,100422,,1/28/21,1753,2
"January 29, 2021",141,100563,,1/29/21,1753,0
"January 30, 2021",112,100675,,1/30/21,1755,2
"January 31, 2021",98,100773,,1/31/21,1763,8
"February 1, 2021",83,100856,,2/1/21,1766,3
"February 2, 2021",153,101009,,2/2/21,1766,0
"February 3, 2021",150,101159,,2/3/21,1769,3
"February 4, 2021",180,101339,,2/4/21,1773,4
"February 5, 2021",195,101534,,2/5/21,1776,3
"February 6, 2021",156,101690,,2/6/21,1776,0
"February 7, 2021",129,101819,,2/7/21,1779,3
"February 8, 2021",125,101944,,2/8/21,1786,7
"February 9, 2021",104,102048,,2/9/21,1789,3
"February 10, 2021",173,102221,,2/10/21,1791,2
"February 11, 2021",132,102353,,2/11/21,1794,3
"February 12, 2021",260,102613,,2/12/21,1794,0
"February 13, 2021",179,102792,,2/13/21,1795,1
"February 14, 2021",75,102867,,2/14/21,1795,0
"February 15, 2021",147,103014,,2/15/21,1795,0
"February 16, 2021",174,103188,,2/16/21,1797,2
"February 17, 2021",144,103332,,2/17/21,1801,4
"February 18, 2021",283,103615,,2/18/21,1807,6
"February 19, 2021",226,103841,,2/19/21,1813,6
"February 20, 2021",152,103993,,2/20/21,1817,4
"February 21, 2021",208,104201,,2/21/21,1823,6
"February 22, 2021",105,104306,,2/22/21,1827,4
"February 23, 2021",194,104500,,2/23/21,1837,10
"February 24, 2021",280,104780,,2/24/21,1839,2
"February 25, 2021",277,105057,,2/25/21,1847,8
"February 26, 2021",410,105467,,2/26/21,1853,6
"February 27, 2021",181,105648,,2/27/21,1854,1
"February 28, 2021",325,105973,,2/28/21,1856,2
"March 1, 2021",152,106125,,3/1/21,1859,3
"March 2, 2021",345,106470,,3/2/21,1863,4
"March 3, 2021",331,106801,,3/3/21,1866,3
"March 4, 2021",528,107329,,3/4/21,1870,4
"March 5, 2021",400,107729,,3/5/21,1873,3
"March 6, 2021",633,108362,,3/6/21,1874,1
"March 7, 2021",465,108827,,3/7/21,1876,2
"March 8, 2021",337,109164,,3/8/21,1879,3
"March 9, 2021",479,109643,,3/9/21,1886,7
"March 10, 2021",713,110356,,3/10/21,1898,12
"March 11, 2021",829,111185,,3/11/21,1899,1
"March 12, 2021",750,111935,,3/12/21,1901,2
"March 13, 2021",870,112805,,3/13/21,1908,7
"March 14, 2021",431,113236,,3/14/21,1913,5
"March 15, 2021",731,113967,,3/15/21,1918,5
"March 16, 2021",1064,115031,,3/16/21,1925,7
"March 17, 2021",1279,116310,,3/17/21,1937,12
"March 18, 2021",1225,117535,,3/18/21,1954,17
"March 19, 2021",1354,118889,,3/19/21,1982,28
"March 20, 2021",1274,120163,,3/20/21,1994,12
"March 21, 2021",747,120910,,3/21/21,2011,17
"March 22, 2021",1130,122040,,3/22/21,2023,12
"March 23, 2021",1127,123167,,3/23/21,2048,25
"March 24, 2021",1540,124707,,3/24/21,2066,18
"March 25, 2021",1463,126170,,3/25/21,2092,26
"March 26, 2021",2008,128178,,3/26/21,2098,6
"March 27, 2021",1152,129330,,3/27/21,2104,6
"March 28, 2021",884,130214,,3/28/21,2117,13
"March 29, 2021",902,131116,,3/29/21,2135,18
"March 30, 2021",1530,132646,,3/30/21,2147,12
"March 31, 2021",1412,134058,,3/31/21,2153,6
"April 1, 2021",984,135042,,4/1/21,2167,14
"April 2, 2021",1851,136893,,4/2/21,2186,19
"April 3, 2021",1184,138077,,4/3/21,2206,20
"April 4, 2021",911,138988,,4/4/21,2224,18
"April 5, 2021",460,139448,,4/5/21,2244,20
"April 6, 2021",394,139842,,4/6/21,2258,14
"April 7, 2021",1523,141365,,4/7/21,2276,18
"April 8, 2021",1698,143063,,4/8/21,2292,16
"April 9, 2021",1091,144154,,4/9/21,2309,17
"April 10, 2021",1030,145184,,4/10/21,2330,21
"April 11, 2021",486,145670,,4/11/21,2348,18
"April 12, 2021",486,146156,,4/12/21,2368,20
"April 13, 2021",991,147147,,4/13/21,2394,26
"April 14, 2021",981,148128,,4/14/21,2420,26
"April 15, 2021",1091,149219,,4/15/21,2424,4
"April 16, 2021",1041,150260,,4/16/21,2443,19
"April 17, 2021",1027,151287,,4/17/21,2463,20
"April 18, 2021",366,151653,,4/18/21,2481,18
"April 19, 2021",241,151894,,4/19/21,2501,20
"April 20, 2021",629,152523,,4/20/21,2519,18
"April 21, 2021",965,153488,,4/21/21,2540,21
"April 22, 2021",904,154392,,4/22/21,2560,20
"April 23, 2021",773,155165,,4/23/21,2583,23
"April 24, 2021",1153,156318,,4/24/21,2603,20
"April 25, 2021",469,156787,,4/25/21,2622,19
"April 26, 2021",194,156981,,4/26/21,2643,21
"April 27, 2021",511,157492,,4/27/21,2665,22
"April 28, 2021",834,158326,,4/28/21,2688,23
"April 29, 2021",495,158821,,4/29/21,2707,19
"April 30, 2021",497,159318,,4/30/21,2724,17
"May 1, 2021",735,160053,,5/1/21,2744,20
"May 2, 2021",369,160422,,5/2/21,2763,19
"May 3, 2021",137,160559,,5/3/21,2781,18
"May 4, 2021",345,160904,,5/4/21,2805,24
"May 5, 2021",489,161393,,5/5/21,2825,20
"May 6, 2021",705,162098,,5/6/21,2850,25
"May 7, 2021",568,162666,,5/7/21,2865,15
"May 8, 2021",572,163238,,5/8/21,2883,18
"May 9, 2021",316,163554,,5/9/21,2895,12
"May 10, 2021",66,163620,,5/10/21,2907,12
"May 11, 2021",356,163976,,5/11/21,2928,21
"May 12, 2021",410,164386,,5/12/21,2950,22
"May 13, 2021",334,164720,,5/13/21,2968,18
"May 14, 2021",392,165112,,5/14/21,2976,8
"May 15, 2021",267,165379,,5/15/21,3001,25
"May 16, 2021",86,165465,,5/16/21,3003,2
"May 17, 2021",72,165537,,5/17/21,3013,10
"May 18, 2021",469,166006,,5/18/21,3021,8
"May 19, 2021",376,166382,,5/19/21,3035,14
"May 20, 2021",494,166876,,5/20/21,3040,5
"May 21, 2021",659,167535,,5/21/21,3043,3
"May 22, 2021",573,168108,,5/22/21,3049,6
"May 23, 2021",324,168432,,5/23/21,3059,10
"May 24, 2021",111,168543,,5/24/21,3073,14
"May 25, 2021",382,168925,,5/25/21,3087,14
"May 26, 2021",431,169356,,5/26/21,3097,10
"May 27, 2021",341,169697,,5/27/21,3108,11
"May 28, 2021",344,170041,,5/28/21,3124,16
"May 29, 2021",444,170485,,5/29/21,3141,17
"May 30, 2021",162,170647,,5/30/21,3157,16
"May 31, 2021",88,170735,,5/31/21,3172,15
"June 1, 2021",349,171084,,6/1/21,3188,16
"June 2, 2021",142,171226,,6/2/21,3206,18
"June 3, 2021",432,171658,,6/3/21,3223,17
"June 4, 2021",284,171942,,6/4/21,3240,17
"June 5, 2021",383,172325,,6/5/21,3264,24
"June 6, 2021",166,172491,,6/6/21,3287,23
"June 7, 2021",148,172639,,6/7/21,3308,21
"June 8, 2021",433,173072,,6/8/21,3326,18
"June 9, 2021",589,173661,,6/9/21,3345,19
"June 10, 2021",624,174285,,6/10/21,3362,17
"June 11, 2021",488,174773,,6/11/21,3378,16
"June 12, 2021",403,175176,,6/12/21,3396,18
"June 13, 2021",161,175337,,6/13/21,3410,14
"June 14, 2021",344,175681,,6/14/21,3421,11
"June 15, 2021",456,176137,,6/15/21,3428,7
"June 16, 2021",485,176622,,6/16/21,3428,0
"June 17, 2021",660,177282,,6/17/21,3434,6
"June 18, 2021",796,178078,,6/18/21,3437,3
"June 19, 2021",714,178792,,6/19/21,3447,10
"June 20, 2021",283,179075,,6/20/21,3456,9
"June 21, 2021",218,179293,,6/21/21,3461,5
"June 22, 2021",583,179876,,6/22/21,3484,23
"June 23, 2021",622,180498,,6/23/21,3514,30
"June 24, 2021",741,181239,,6/24/21,3538,24
"June 25, 2021",646,181885,,6/25/21,3556,18
"June 26, 2021",508,182393,,6/26/21,3574,18
"June 27, 2021",204,182597,,6/27/21,3595,21
"June 28, 2021",287,182884,,6/28/21,3612,17
"June 29, 2021",719,183603,,6/29/21,3621,9
"June 30, 2021",558,184161,,6/30/21,3634,13
"July 1, 2021",376,184537,,7/1/21,3640,6
"July 2, 2021",523,185060,,7/2/21,3651,11
"July 3, 2021",531,185591,,7/3/21,3671,20
"July 4, 2021",277,185868,,7/4/21,3675,4
"July 5, 2021",185,186053,,7/5/21,3690,15
"July 6, 2021",400,186453,,7/6/21,3697,7
"July 7, 2021",506,186959,,7/7/21,3705,8
"July 8, 2021",566,187525,,7/8/21,3716,11
"July 9, 2021",452,187977,,7/9/21,3718,2
"July 10, 2021",536,188513,,7/10/21,3721,3
"July 11, 2021",241,188754,,7/11/21,3722,1
"July 12, 2021",188,188942,,7/12/21,3723,1
"July 13, 2021",761,189703,,7/13/21,3732,9
"July 14, 2021",480,190183,,7/14/21,3737,5
"July 15, 2021",837,191020,,7/15/21,3746,9
"July 16, 2021",692,191712,,7/16/21,3754,8
"July 17, 2021",723,192435,,7/17/21,3760,6
"July 18, 2021",323,192758,,7/18/21,3775,15
"July 19, 2021",431,193189,,7/19/21,3783,8
"July 20, 2021",618,193807,,7/20/21,3800,17
"July 21, 2021",503,194310,,7/21/21,3811,11
"July 22, 2021",801,195111,,7/22/21,3826,15
"July 23, 2021",787,195898,,7/23/21,3838,12
"July 24, 2021",847,196745,,7/24/21,3849,11
"July 25, 2021",664,197409,,7/25/21,3865,16
"July 26, 2021",550,197959,,7/26/21,3872,7
"July 27, 2021",976,198935,,7/27/21,3882,10
"July 28, 2021",1006,199941,,7/28/21,3895,13
"July 29, 2021",1068,201009,,7/29/21,3910,15
"July 30, 2021",945,201954,,7/30/21,3926,16
"July 31, 2021",1259,203213,,7/31/21,3931,5
"August 1, 2021",467,203680,,8/1/21,3946,15
,,,,8/2/21,3970,24
,,,,8/3/21,3995,25